codigo,descripcion,capitulo
A00.0,"Cólera debido a Vibrio cholerae O1, biotipo cholerae","Ciertas enfermedades infecciosas y parasitarias"
A00.1,"Cólera debido a Vibrio cholerae O1, biotipo El Tor","Ciertas enfermedades infecciosas y parasitarias"
A00.9,"Cólera, no especificado","Ciertas enfermedades infecciosas y parasitarias"
A01.0,"Fiebre tifoidea","Ciertas enfermedades infecciosas y parasitarias"
A01.1,"Fiebre paratifoidea A","Ciertas enfermedades infecciosas y parasitarias"
A01.2,"Fiebre paratifoidea B","Ciertas enfermedades infecciosas y parasitarias"
A01.3,"Fiebre paratifoidea C","Ciertas enfermedades infecciosas y parasitarias"
A01.4,"Fiebre paratifoidea, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A02.0,"Enteritis debida a Salmonella","Ciertas enfermedades infecciosas y parasitarias"
A02.1,"Septicemia debida a Salmonella","Ciertas enfermedades infecciosas y parasitarias"
A02.2,"Infecciones localizadas debidas a Salmonella","Ciertas enfermedades infecciosas y parasitarias"
A02.8,"Otras infecciones especificadas como debidas a Salmonella","Ciertas enfermedades infecciosas y parasitarias"
A02.9,"Infección debida a Salmonella, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A03.0,"Shigelosis debida a Shigella dysenteriae","Ciertas enfermedades infecciosas y parasitarias"
A03.1,"Shigelosis debida a Shigella flexneri","Ciertas enfermedades infecciosas y parasitarias"
A03.2,"Shigelosis debida a Shigella boydii","Ciertas enfermedades infecciosas y parasitarias"
A03.3,"Shigelosis debida a Shigella sonnei","Ciertas enfermedades infecciosas y parasitarias"
A03.8,"Otras shigelosis","Ciertas enfermedades infecciosas y parasitarias"
A03.9,"Shigelosis de tipo no especificado","Ciertas enfermedades infecciosas y parasitarias"
A04.0,"Infección debida a Escherichia coli enteropatógena","Ciertas enfermedades infecciosas y parasitarias"
A04.1,"Infección debida a Escherichia coli enterotoxígena","Ciertas enfermedades infecciosas y parasitarias"
A04.2,"Infección debida a Escherichia coli enteroinvasiva","Ciertas enfermedades infecciosas y parasitarias"
A04.3,"Infección debida a Escherichia coli enterohemorrágica","Ciertas enfermedades infecciosas y parasitarias"
A04.4,"Otras infecciones intestinales debidas a Escherichia coli","Ciertas enfermedades infecciosas y parasitarias"
A04.5,"Enteritis debida a Campylobacter","Ciertas enfermedades infecciosas y parasitarias"
A04.6,"Enteritis debida a Yersinia enterocolitica","Ciertas enfermedades infecciosas y parasitarias"
A04.7,"Enterocolitis debida a Clostridium difficile","Ciertas enfermedades infecciosas y parasitarias"
A04.8,"Otras infecciones intestinales bacterianas especificadas","Ciertas enfermedades infecciosas y parasitarias"
A04.9,"Infección intestinal bacteriana, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A05.0,"Intoxicación alimentaria estafilocócica","Ciertas enfermedades infecciosas y parasitarias"
A05.1,Botulismo,"Ciertas enfermedades infecciosas y parasitarias"
A05.2,"Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]","Ciertas enfermedades infecciosas y parasitarias"
A05.3,"Intoxicación alimentaria debida a Vibrio parahaemolyticus","Ciertas enfermedades infecciosas y parasitarias"
A05.4,"Intoxicación alimentaria debida a Bacillus cereus","Ciertas enfermedades infecciosas y parasitarias"
A05.8,"Otras intoxicaciones alimentarias debidas a bacterias especificadas","Ciertas enfermedades infecciosas y parasitarias"
A05.9,"Intoxicación alimentaria bacteriana, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A06.0,"Disentería amebiana aguda","Ciertas enfermedades infecciosas y parasitarias"
A06.1,"Amebiasis intestinal crónica","Ciertas enfermedades infecciosas y parasitarias"
A06.2,"Colitis amebiana no disentérica","Ciertas enfermedades infecciosas y parasitarias"
A06.3,"Ameboma intestinal","Ciertas enfermedades infecciosas y parasitarias"
